わい,和井
わいずみ,和泉
わいだ,和井田
わいない,和井内
わうけ,和宇慶
わか,若
わか,和歌
わかあり,若有
わかい,若井
わかい,和賀井
わかいき,若生
わかいけ,若池
わかいずみ,若泉
わかいだ,若井田
わかいち,若一
わかいろ,若色
わかうみ,若海
わかうめ,若梅
わかうら,若浦
わかえ,若江
わかお,若生
わかお,若尾
わかおうじ,若王子
わかおか,若岡
わかおみ,若麻績
わかき,若城
わかき,若木
わかぎ,若城
わかぎ,若木
わかくさ,若草
わかくら,若倉
わかくり,若栗
わかくわ,若桑
わかさ,若狭
わかさ,若佐
わかさ,若狹
わかさ,和家佐
わかさき,若崎
わかさや,若佐谷
わかさわ,若澤
わかざわ,若沢
わかざわ,若澤
わかしま,若島
わかしま,若嶋
わかしろ,若城
わかしろ,若代
わかしん,若新
わかす,若洲
わかすぎ,若杉
わかせ,若瀬
わかそね,若曽根
わかその,若園
わかぞの,若園
わかた,若田
わかた,和方
わかたけ,若竹
わかたに,若谷
わかたび,若旅
わかたべ,若田部
わかつか,若塚
わかつき,若月
わかつき,若槻
わかつき,和歌月
わかつち,若土
わかな,若菜
わかな,若名
わかの,若野
わかはま,若浜
わかはや,若早
わかはら,若原
わかば,若葉
わかばやし,若林
わかふじ,若藤
わかべ,若部
わかほい,若穂囲
わかま,若間
わかまつ,若松
わかみ,若見
わかみこ,若御子
わかみず,若水
わかみや,若宮
わかむら,若村
わかめ,若命
わかめい,若女井
わかめだ,若目田
わかもと,若元
わかもと,若本
わかもり,若森
わかもり,和歌森
わかや,若家
わかや,若谷
わかやなぎ,若柳
わかやま,若山
わかゆう,若勇
わかよし,若（吉の士が土）
わかよし,若吉
わかわだ,若和田
わが,和賀
わがい,和賀井
わがい,和貝
わがた,我田
わがた,輪形
わがた,和形
わがた,和懸
わがたに,我谷
わがつま,我妻
わがみ,和上
わがみつ,我満
わき,（脇の力が刀）
わき,輪木
わき,和気
わき,和木
わき,和氣
わき,脇
わきうち,脇内
わきお,脇尾
わきおか,脇岡
わきかいどう,脇海道
わきかど,脇門
わきかわ,湧川
わきかわ,脇川
わきがた,脇方
わきがわ,湧川
わきがわ,脇川
わきくろまる,脇黒丸
わきぐち,脇口
わきぐろまる,脇黒丸
わきさか,（脇の力が刀）阪
わきさか,和氣坂
わきさか,脇坂
わきさか,脇阪
わきざか,脇坂
わきざか,脇阪
わきざき,脇崎
わきざわ,脇澤
わきしま,脇島
わきしま,脇嶋
わきしまだ,脇島田
わきじ,脇地
わきじょう,脇條
わきた,湧田
わきた,和木田
わきた,脇田
わきたに,脇谷
わきだ,脇田
わきぢ,脇地
わきてら,脇寺
わきと,脇戸
わきなか,脇中
わきなが,脇長
わきなぐに,湧稲國
わきの,脇野
わきはた,脇畑
わきはま,脇浜
わきはら,脇原
わきみず,涌水
わきみず,脇水
わきむら,脇村
わきもと,脇元
わきもと,脇本
わきや,脇屋
わきや,脇谷
わきやしき,脇屋敷
わきやま,分山
わきやま,脇山
わきり,脇理
わきわか,脇若
わく,和久
わくい,泉井
わくい,湧井
わくい,涌井
わくい,和久井
わくかわ,湧川
わくがみ,湧上
わくがわ,湧川
わくさか,涌坂
わくさわ,涌澤
わくしま,湧嶋
わくしま,涌嶋
わくた,湧田
わくた,涌田
わくた,和久田
わくたに,涌谷
わくたに,枠谷
わくだ,湧田
わくだ,涌田
わくだ,和久田
わくつ,和久津
わくなが,湧永
わくなが,涌永
わくの,湧野
わくもと,涌本
わくもと,和久本
わくや,湧谷
わくや,和久屋
わくやま,和久山
わくら,輪倉
わくら,和倉
わくり,和久利
わくり,和栗
わぐち,和口
わぐり,和栗
わぐれ,和暮
わけ,和家
わけ,和気
わけ,和氣
わけしま,分島
わけじま,和気島
わけす,分須
わけた,分田
わけだ,分田
わけの,分野
わけばやし,分林
わけびき,采睾
わけびき,釆（釋の釆なし）
わけべ,分部
わけめ,分目
わけやま,分山
わこ,輪湖
わこう,若生
わこう,和光
わこお,若生
わご,輪湖
わごう,和合
わさ,和佐
わさ,和沙
わさい,和才
わさか,和坂
わさき,和崎
わさたに,和佐谷
わさだ,早稲田
わさだ,早田
わさだ,和佐田
わさだ,稙田
わさの,和佐野
わさみ,和佐見
わさわ,和澤
わざ,和座
わざき,和崎
わざわ,和澤
わし,鷲
わしあし,鷲足
わしえ,鷲江
わしお,鷲尾
わしおか,鷲岡
わしおか,鷲岳
わしきた,鷲北
わしさか,鷲阪
わしざき,鷲（崎の大が立）
わしざき,鷲崎
わしざわ,鷲沢
わしざわ,鷲澤
わしず,鷲巣
わしず,鷲頭
わしずか,鷲塚
わしたけ,和志武
わしたけ,鷲嶽
わしたに,鷲谷
わしだ,鷲田
わしづ,鷲津
わしづか,鷲（土へんに冢）
わしづか,鷲塚
わしとみ,上蔀
わしの,鷲埜
わしの,鷲野
わしのす,鷲巣
わしはら,鷲原
わしひら,鷲平
わしべ,鷲辺
わしま,和島
わしみ,鷲見
わしみね,鷲峰
わしみや,鷲宮
わしもと,鷲本
わしもり,鷲盛
わしや,鷲家
わしや,鷲谷
わしやま,鷲山
わしょ,和所
わしろ,和城
わじ,和地
わじき,和喰
わじき,和食
わじま,輪島
わじま,輪嶋
わじま,倭島
わじま,和島
わじま,和嶋
わじもと,和治元
わじゃた,和蛇田
わすづ,和須津
わずみ,和角
わずみ,和住
わせ,輪瀬
わせ,和瀬
わせだ,早稲田
わた,綿
わたい,渡井
わたい,綿井
わたいし,綿石
わたうち,綿内
わたかべ,渡我部
わたかべ,渡壁
わたき,渡木
わたき,綿木
わたき,和滝
わたき,和瀧
わたぎ,綿木
わたぐろ,渡黒
わたけ,綿谷
わたけ,輪竹
わたし,渡司
わたし,渡士
わたしば,渡場
わたじ,渡司
わたすえ,綿末
わたせ,渡世
わたせ,渡瀬
わたせ,綿瀬
わたたに,綿谷
わただ,綿田
わただ,和多田
わたづ,渡津
わたど,渡戸
わたなべ,渡鍋
わたなべ,渡部
わたなべ,渡辺
わたなべ,渡邊
わたなべ,渡邉
わたなみ,渡波
わたに,和谷
わたぬき,四月一日
わたぬき,四月朔月
わたぬき,四月朔日
わたぬき,渡貫
わたぬき,綿貫
わたぬき,綿抜
わたぬき,六月朔日
わたぬま,渡沼
わたの,渡野
わたの,綿野
わたの,和田野
わたのはら,大海原
わたのぶ,渡信
わたのべ,渡延
わたのべ,渡部
わたのべ,渡野辺
わたはら,綿原
わたばやし,綿林
わたひき,綿引
わたびき,渡引
わたびき,綿引
わたふき,渡貫
わたぶ,渡部
わたべ,渡部
わたまき,綿巻
わたむら,綿村
わたもと,綿本
わたもり,綿森
わたや,綿屋
わたや,綿谷
わたや,綿矢
わたよう,済陽
わたらい,渡井
わたらい,渡会
わたらい,渡来
わたらい,渡會
わたらい,度会
わたらい,度會
わたらせ,渡瀬
わたり,渡
わたり,渡利
わたり,渡里
わたり,和足
わたり,亘
わたり,亘理
わたりぐち,渡口
わたりや,渡谷
わたる,渡
わたる,亘
わたるみ,渡海
わだ,輪田
わだ,和多
わだ,和太
わだ,和田
わだ,和夛
わだい,和田井
わだいら,和平
わだか,和高
わだがき,和田垣
わだき,和田木
わだぐり,和田栗
わださき,和田崎
わだち,輪達
わだち,和達
わだつみ,弘原海
わだづみ,弘原海
わだの,和田野
わだばやし,和田林
わだみ,和田見
わだもと,和田本
わだもり,和田守
わだもり,和田森
わだや,和田谷
わだやま,海山
わだやま,和田山
わち,輪千
わち,和知
わち,和地
わち,和智
わぢ,和地
わつじ,和辻
わて,和手
わとう,訪藤
わとう,和唐
わとう,和藤
わなか,和中
わなじょう,和南城
わなみ,和南
わなみ,和波
わに,和爾
わに,和仁
わに,和迩
わにいし,鰐石
わにかわ,鰐川
わにぶち,鰐淵
わにぶち,鰐渕
わにべ,鰐部
わの,輪野
わの,和野
わのうち,和野内
わひら,和平
わびこ,我彦
わふ,和布
わふうら,和布浦
わへい,和平
わぼ,和保
わみ,和美
わむら,和村
わやま,和山
わらがい,藁谷
わらしな,藁科
わらしな,藁品
わらち,和良知
わらび,蕨
わらびおか,蕨岡
わらびさこ,蕨迫
わらびの,蕨野
わりいし,割石
わりかし,割柏
わりかた,割方
わりがい,割貝
わりさや,割鞘
わりさわ,割沢
わりさわ,割澤
わりざや,割鞘
わりざわ,割澤
わりた,割田
わりた,和里田
わりだし,割出
わんさわ,椀澤
わんだ,椀田
わんだい,椀台
わんの,湾野
わんめ,分目